RawCategory,CategoryGroup
2W,2W
3W,3W
FOUR WHEELER (INVALID CARRIAGE),4W
HEAVY GOODS VEHICLE,Commercial
HEAVY MOTOR VEHICLE,Commercial
HEAVY PASSENGER VEHICLE,Commercial
LIGHT GOODS VEHICLE,4W
LIGHT MOTOR VEHICLE,4W
LIGHT PASSENGER VEHICLE,4W
LMV,4W
MEDIUM GOODS VEHICLE,Commercial
MEDIUM MOTOR VEHICLE,Commercial
MEDIUM PASSENGER VEHICLE,Commercial
MMV,Other
OTHER THAN MENTIONED ABOVE,Other
THREE WHEELER(NT),3W
THREE WHEELER(T),3W
TWO WHEELER (INVALID CARRIAGE),2W
TWO WHEELER(NT),2W
TWO WHEELER(T),2W
