Date,Year,RawCategory,Registrations,CategoryGroup
2001-01-01,2001,FOUR WHEELER (INVALID CARRIAGE),0,4W
2001-01-01,2001,HEAVY GOODS VEHICLE,1,Commercial
2001-01-01,2001,HEAVY MOTOR VEHICLE,0,Commercial
2001-01-01,2001,HEAVY PASSENGER VEHICLE,0,Commercial
2001-01-01,2001,LIGHT GOODS VEHICLE,9,4W
2001-01-01,2001,LIGHT MOTOR VEHICLE,15,4W
2001-01-01,2001,LIGHT PASSENGER VEHICLE,1,4W
2001-01-01,2001,MEDIUM GOODS VEHICLE,0,Commercial
2001-01-01,2001,MEDIUM PASSENGER VEHICLE,0,Commercial
2001-01-01,2001,MEDIUM MOTOR VEHICLE,0,Commercial
2001-01-01,2001,OTHER THAN MENTIONED ABOVE,2,Other
2001-01-01,2001,THREE WHEELER(NT),0,3W
2001-01-01,2001,TWO WHEELER (INVALID CARRIAGE),0,2W
2001-01-01,2001,THREE WHEELER(T),2,3W
2001-01-01,2001,TWO WHEELER(NT),62,2W
2001-01-01,2001,TWO WHEELER(T),0,2W
2002-01-01,2002,FOUR WHEELER (INVALID CARRIAGE),0,4W
2002-01-01,2002,HEAVY GOODS VEHICLE,2,Commercial
2002-01-01,2002,HEAVY MOTOR VEHICLE,1,Commercial
2002-01-01,2002,HEAVY PASSENGER VEHICLE,0,Commercial
2002-01-01,2002,LIGHT GOODS VEHICLE,266,4W
2002-01-01,2002,LIGHT MOTOR VEHICLE,11,4W
2002-01-01,2002,LIGHT PASSENGER VEHICLE,5,4W
2002-01-01,2002,MEDIUM GOODS VEHICLE,0,Commercial
2002-01-01,2002,MEDIUM PASSENGER VEHICLE,0,Commercial
2002-01-01,2002,MEDIUM MOTOR VEHICLE,0,Commercial
2002-01-01,2002,OTHER THAN MENTIONED ABOVE,0,Other
2002-01-01,2002,THREE WHEELER(NT),0,3W
2002-01-01,2002,TWO WHEELER (INVALID CARRIAGE),0,2W
2002-01-01,2002,THREE WHEELER(T),2,3W
2002-01-01,2002,TWO WHEELER(NT),11,2W
2002-01-01,2002,TWO WHEELER(T),0,2W
2003-01-01,2003,FOUR WHEELER (INVALID CARRIAGE),0,4W
2003-01-01,2003,HEAVY GOODS VEHICLE,1,Commercial
2003-01-01,2003,HEAVY MOTOR VEHICLE,2,Commercial
2003-01-01,2003,HEAVY PASSENGER VEHICLE,0,Commercial
2003-01-01,2003,LIGHT GOODS VEHICLE,35,4W
2003-01-01,2003,LIGHT MOTOR VEHICLE,15,4W
2009-01-03,2009,TWO WHEELER(NT),660,2W
2009-01-03,2009,TWO WHEELER(T),0,2W
2010-01-03,2010,FOUR WHEELER (INVALID CARRIAGE),0,4W
2010-01-03,2010,HEAVY GOODS VEHICLE,3,Commercial
2010-01-03,2010,HEAVY MOTOR VEHICLE,0,Commercial
2010-01-03,2010,HEAVY PASSENGER VEHICLE,0,Commercial
2010-01-03,2010,LIGHT GOODS VEHICLE,7,4W
2010-01-03,2010,LIGHT MOTOR VEHICLE,32,4W
2010-01-03,2010,LIGHT PASSENGER VEHICLE,1,4W
2010-01-03,2010,MEDIUM GOODS VEHICLE,0,Commercial
2010-01-03,2010,MEDIUM PASSENGER VEHICLE,0,Commercial
2010-01-03,2010,MEDIUM MOTOR VEHICLE,0,Commercial
2010-01-03,2010,OTHER THAN MENTIONED ABOVE,0,Other
2010-01-03,2010,THREE WHEELER(NT),0,3W
