MakerSalesID,Maker,RawCategory,Year,Sales,CategoryGroup
1,"""VOLVO GROUP INDIA PVT LTD""",3W,2015,0,3W
2,"""VOLVO GROUP INDIA PVT LTD""",3W,2016,0,3W
3,"""VOLVO GROUP INDIA PVT LTD""",3W,2017,31,3W
4,"""VOLVO GROUP INDIA PVT LTD""",3W,2018,12,3W
5,"""VOLVO GROUP INDIA PVT LTD""",3W,2019,0,3W
6,"""VOLVO GROUP INDIA PVT LTD""",3W,2020,0,3W
7,"""VOLVO GROUP INDIA PVT LTD""",3W,2021,0,3W
8,"""VOLVO GROUP INDIA PVT LTD""",3W,2022,0,3W
9,"""VOLVO GROUP INDIA PVT LTD""",3W,2023,0,3W
10,"""VOLVO GROUP INDIA PVT LTD""",3W,2024,0,3W
11,3EV INDUSTRIES PVT LTD,3W,2015,0,3W
12,3EV INDUSTRIES PVT LTD,3W,2016,0,3W
13,3EV INDUSTRIES PVT LTD,3W,2017,0,3W
14,3EV INDUSTRIES PVT LTD,3W,2018,0,3W
15,3EV INDUSTRIES PVT LTD,3W,2019,0,3W
16,3EV INDUSTRIES PVT LTD,3W,2020,0,3W
17,3EV INDUSTRIES PVT LTD,3W,2021,112,3W
18,3EV INDUSTRIES PVT LTD,3W,2022,390,3W
19,3EV INDUSTRIES PVT LTD,3W,2023,545,3W
20,3EV INDUSTRIES PVT LTD,3W,2024,51,3W
21,3GB TECHNOLOGY PVT LTD,2W,2015,0,2W
22,3GB TECHNOLOGY PVT LTD,2W,2016,0,2W
23,3GB TECHNOLOGY PVT LTD,2W,2017,0,2W
24,3GB TECHNOLOGY PVT LTD,2W,2018,1,2W
25,3GB TECHNOLOGY PVT LTD,2W,2019,0,2W
26,3GB TECHNOLOGY PVT LTD,2W,2020,0,2W
27,3GB TECHNOLOGY PVT LTD,2W,2021,0,2W
28,3GB TECHNOLOGY PVT LTD,2W,2022,0,2W
29,3GB TECHNOLOGY PVT LTD,2W,2023,0,2W
30,3GB TECHNOLOGY PVT LTD,2W,2024,0,2W
31,3GB TECHNOLOGY PVT LTD,3W,2015,0,3W
32,3GB TECHNOLOGY PVT LTD,3W,2016,1,3W
33,3GB TECHNOLOGY PVT LTD,3W,2017,1,3W
34,3GB TECHNOLOGY PVT LTD,3W,2018,0,3W
35,3GB TECHNOLOGY PVT LTD,3W,2019,0,3W
36,3GB TECHNOLOGY PVT LTD,3W,2020,0,3W
37,3GB TECHNOLOGY PVT LTD,3W,2021,0,3W
38,3GB TECHNOLOGY PVT LTD,3W,2022,0,3W
39,3GB TECHNOLOGY PVT LTD,3W,2023,0,3W
40,3GB TECHNOLOGY PVT LTD,3W,2024,0,3W
41,3S INDUSTRIES PRIVATE LIMITED,3W,2015,0,3W
42,3S INDUSTRIES PRIVATE LIMITED,3W,2016,0,3W
43,3S INDUSTRIES PRIVATE LIMITED,3W,2017,0,3W
44,3S INDUSTRIES PRIVATE LIMITED,3W,2018,0,3W
45,3S INDUSTRIES PRIVATE LIMITED,3W,2019,48,3W
46,3S INDUSTRIES PRIVATE LIMITED,3W,2020,66,3W
47,3S INDUSTRIES PRIVATE LIMITED,3W,2021,43,3W
48,3S INDUSTRIES PRIVATE LIMITED,3W,2022,68,3W
49,3S INDUSTRIES PRIVATE LIMITED,3W,2023,266,3W
50,3S INDUSTRIES PRIVATE LIMITED,3W,2024,578,3W
51,3S INDUSTRIES PRIVATE LIMITED,LMV,2015,0,4W
52,3S INDUSTRIES PRIVATE LIMITED,LMV,2016,0,4W
53,3S INDUSTRIES PRIVATE LIMITED,LMV,2017,0,4W
54,3S INDUSTRIES PRIVATE LIMITED,LMV,2018,0,4W
55,3S INDUSTRIES PRIVATE LIMITED,LMV,2019,3,4W
56,3S INDUSTRIES PRIVATE LIMITED,LMV,2020,1,4W
57,3S INDUSTRIES PRIVATE LIMITED,LMV,2021,0,4W
58,3S INDUSTRIES PRIVATE LIMITED,LMV,2022,0,4W
59,3S INDUSTRIES PRIVATE LIMITED,LMV,2023,0,4W
60,3S INDUSTRIES PRIVATE LIMITED,LMV,2024,0,4W
61,A B EXCAVATORS & EARTHMOVER LTD,3W,2015,0,3W
62,A B EXCAVATORS & EARTHMOVER LTD,3W,2016,1,3W
63,A B EXCAVATORS & EARTHMOVER LTD,3W,2017,0,3W
64,A B EXCAVATORS & EARTHMOVER LTD,3W,2018,0,3W
65,A B EXCAVATORS & EARTHMOVER LTD,3W,2019,0,3W
66,A B EXCAVATORS & EARTHMOVER LTD,3W,2020,0,3W
67,A B EXCAVATORS & EARTHMOVER LTD,3W,2021,0,3W
68,A B EXCAVATORS & EARTHMOVER LTD,3W,2022,0,3W
69,A B EXCAVATORS & EARTHMOVER LTD,3W,2023,0,3W
70,A B EXCAVATORS & EARTHMOVER LTD,3W,2024,0,3W
71,A D AGRO WORKS,3W,2015,0,3W
72,A D AGRO WORKS,3W,2016,0,3W
73,A D AGRO WORKS,3W,2017,2,3W
74,A D AGRO WORKS,3W,2018,1,3W
75,A D AGRO WORKS,3W,2019,0,3W
76,A D AGRO WORKS,3W,2020,0,3W
77,A D AGRO WORKS,3W,2021,0,3W
78,A D AGRO WORKS,3W,2022,0,3W
79,A D AGRO WORKS,3W,2023,0,3W
80,A D AGRO WORKS,3W,2024,0,3W
81,A K AUTTO ELECTRICAL,3W,2015,0,3W
82,A K AUTTO ELECTRICAL,3W,2016,1,3W
83,A K AUTTO ELECTRICAL,3W,2017,72,3W
84,A K AUTTO ELECTRICAL,3W,2018,56,3W
85,A K AUTTO ELECTRICAL,3W,2019,42,3W
86,A K AUTTO ELECTRICAL,3W,2020,1,3W
87,A K AUTTO ELECTRICAL,3W,2021,5,3W
88,A K AUTTO ELECTRICAL,3W,2022,3,3W
89,A K AUTTO ELECTRICAL,3W,2023,2,3W
90,A K AUTTO ELECTRICAL,3W,2024,0,3W
91,A K GUPTA & CO.,3W,2015,0,3W
92,A K GUPTA & CO.,3W,2016,0,3W
93,A K GUPTA & CO.,3W,2017,100,3W
94,A K GUPTA & CO.,3W,2018,625,3W
95,A K GUPTA & CO.,3W,2019,438,3W
96,A K GUPTA & CO.,3W,2020,195,3W
97,A K GUPTA & CO.,3W,2021,256,3W
98,A K GUPTA & CO.,3W,2022,433,3W
99,A K GUPTA & CO.,3W,2023,563,3W
100,A K GUPTA & CO.,3W,2024,355,3W
101,A P I MOTORS PVT LTD,3W,2015,0,3W
102,A P I MOTORS PVT LTD,3W,2016,0,3W
103,A P I MOTORS PVT LTD,3W,2017,0,3W
104,A P I MOTORS PVT LTD,3W,2018,2,3W
105,A P I MOTORS PVT LTD,3W,2019,28,3W
106,A P I MOTORS PVT LTD,3W,2020,14,3W
107,A P I MOTORS PVT LTD,3W,2021,20,3W
108,A P I MOTORS PVT LTD,3W,2022,93,3W
109,A P I MOTORS PVT LTD,3W,2023,279,3W
110,A P I MOTORS PVT LTD,3W,2024,146,3W
111,A R T WELDING WORKS,LMV,2015,0,4W
112,A R T WELDING WORKS,LMV,2016,1,4W
113,A R T WELDING WORKS,LMV,2017,0,4W
114,A R T WELDING WORKS,LMV,2018,2,4W
115,A R T WELDING WORKS,LMV,2019,0,4W
116,A R T WELDING WORKS,LMV,2020,0,4W
117,A R T WELDING WORKS,LMV,2021,0,4W
118,A R T WELDING WORKS,LMV,2022,0,4W
119,A R T WELDING WORKS,LMV,2023,0,4W
120,A R T WELDING WORKS,LMV,2024,0,4W
121,A. K. AUTTO ELECTRICAL,3W,2015,0,3W
122,A. K. AUTTO ELECTRICAL,3W,2016,0,3W
123,A. K. AUTTO ELECTRICAL,3W,2017,0,3W
124,A. K. AUTTO ELECTRICAL,3W,2018,0,3W
125,A. K. AUTTO ELECTRICAL,3W,2019,0,3W
126,A. K. AUTTO ELECTRICAL,3W,2020,1,3W
127,A. K. AUTTO ELECTRICAL,3W,2021,0,3W
128,A. K. AUTTO ELECTRICAL,3W,2022,0,3W
129,A. K. AUTTO ELECTRICAL,3W,2023,0,3W
130,A. K. AUTTO ELECTRICAL,3W,2024,0,3W
131,A.J ENTERPRISES,3W,2015,0,3W
132,A.J ENTERPRISES,3W,2016,0,3W
133,A.J ENTERPRISES,3W,2017,0,3W
134,A.J ENTERPRISES,3W,2018,0,3W
135,A.J ENTERPRISES,3W,2019,0,3W
136,A.J ENTERPRISES,3W,2020,0,3W
137,A.J ENTERPRISES,3W,2021,0,3W
138,A.J ENTERPRISES,3W,2022,0,3W
139,A.J ENTERPRISES,3W,2023,0,3W
140,A.J ENTERPRISES,3W,2024,66,3W
141,A.K.AUTO ELECTRICAL,3W,2015,0,3W
142,A.K.AUTO ELECTRICAL,3W,2016,2,3W
143,A.K.AUTO ELECTRICAL,3W,2017,8,3W
144,A.K.AUTO ELECTRICAL,3W,2018,0,3W
145,A.K.AUTO ELECTRICAL,3W,2019,0,3W
146,A.K.AUTO ELECTRICAL,3W,2020,0,3W
147,A.K.AUTO ELECTRICAL,3W,2021,0,3W
148,A.K.AUTO ELECTRICAL,3W,2022,0,3W
149,A.K.AUTO ELECTRICAL,3W,2023,0,3W
150,A.K.AUTO ELECTRICAL,3W,2024,0,3W
151,A.R. MOTOR,3W,2015,0,3W
152,A.R. MOTOR,3W,2016,0,3W
153,A.R. MOTOR,3W,2017,0,3W
154,A.R. MOTOR,3W,2018,0,3W
155,A.R. MOTOR,3W,2019,0,3W
156,A.R. MOTOR,3W,2020,0,3W
157,A.R. MOTOR,3W,2021,0,3W
158,A.R. MOTOR,3W,2022,0,3W
